page_size,image,page_no
"{'width': 612.0, 'height': 792.0}",,1
"{'width': 612.0, 'height': 792.0}",,2
"{'width': 612.0, 'height': 792.0}",,3
"{'width': 612.0, 'height': 792.0}",,4
"{'width': 612.0, 'height': 792.0}",,5
"{'width': 612.0, 'height': 792.0}",,6
"{'width': 612.0, 'height': 792.0}",,7
"{'width': 612.0, 'height': 792.0}",,8
"{'width': 612.0, 'height': 792.0}",,9
"{'width': 612.0, 'height': 792.0}",,10
"{'width': 612.0, 'height': 792.0}",,11
"{'width': 612.0, 'height': 792.0}",,12
"{'width': 612.0, 'height': 792.0}",,13
"{'width': 612.0, 'height': 792.0}",,14
"{'width': 612.0, 'height': 792.0}",,15
